ORF name	transcript length	rpkm
YBR030W	1559	28.94292227
YBR033W	2660	0.639191681
YBR034C	947	135.7603463
YBR035C	587	129.0059855
YBR036C	1133	45.59703301
YBR037C	788	16.26556886
YBR038W	2792	11.66415632
YBR039W	836	130.4755606
YBR040W	797	0.820504715
YBR041W	1910	25.54140967
YBR042C	1094	32.75688825
YBR043C	1970	15.66805817
YBR044C	1619	6.301111321
YBR045C	1820	1.868406452
YBR046C	905	18.20922089
YBR047W	428	9.472995329
YBR049C	2333	17.77108408
YBR050C	917	1.711517361
YBR052C	533	68.95226062
YBR053C	977	23.69453013
YBR054W	935	37.34814608
YBR055C	2600	17.45522797
YBR056W	1406	24.09260951
YBR056W-A	101	0
YBR057C	1001	20.12130025
YBR058C	2246	12.69451579
YBR058C-A	143	295.4172719
YBR059C	3227	5.187766288
YBR060C	1763	16.17236668
YBR061C	833	59.82040825
YBR062C	443	21.55204734
YBR063C	1115	22.99061571
YBR065C	995	6.572284002
YBR066C	563	25.32138762
YBR067C	533	179.1286486
YBR068C	1730	37.57332975
YBR069C	1760	72.97401109
YBR070C	614	27.69136598
YBR071W	536	13.17644849
YBR072C-A	62	0
YBR072W	545	11.03902528
YBR073W	2777	18.32074458
YBR074W	2831	17.41690084
YBR076W	965	0
YBR077C	389	76.32128155
YBR078W	1190	226.0771807
YBR079C	2795	81.60825033
YBR080C	2177	18.2034455
YBR081C	3899	6.37337928
YBR082C	347	154.1569934
YBR083W	1361	10.85899709
YBR084W	2828	47.72761036
YBR085C-A	158	54.63315069
YBR085W	824	14.60259412
YBR086C	2741	26.91159676
YBR087W	965	90.53542559
YBR088C	677	142.5729355
YBR091C	230	54.02131698
YBR094W	2162	21.83840474
YBR095C	1193	22.25486646
YBR096W	593	69.47447263
YBR097W	4265	3.40387295
YBR098W	1976	3.309424384
YBR101C	773	93.39615175
YBR102C	2162	11.00994366
YBR103W	1508	25.41181454
YBR104W	890	73.32970491
YBR105C	989	5.686454419
YBR106W	467	683.3486553
YBR107C	638	11.06986895
YBR108W	2744	1.668220046
YBR109C	344	580.9440526
YBR110W	1250	30.13365926
YBR111C	596	115.4273919
YBR111W-A	341	23.01263079
YBR112C	2801	7.797812004
YBR114W	2273	7.134961726
YBR115C	4079	17.63511851
YBR117C	1946	1.075341843
YBR119W	797	11.8152679
YBR120C	389	20.50924306
YBR121C	1904	204.9751784
YBR122C	434	35.55999376
YBR123C	1850	9.756111528
YBR125C	1082	15.71395445
YBR126C	1388	23.55699777
YBR126W-A	107	303.1358505
YBR127C	1454	204.8179535
YBR128C	935	4.336301605
YBR129C	887	63.25619589
YBR130C	1178	28.20056597
YBR131W	2015	4.024260051
YBR132C	1691	0.928126209
YBR133C	2384	8.284000083
YBR135W	353	40.0145971
YBR136W	7007	1.343908737
YBR137W	440	40.42552142
YBR138C	1475	3.901486015
YBR139W	1427	8.890315213
YBR140C	9179	3.775894943
YBR141C	914	19.60395829
YBR142W	2222	34.61008531
YBR143C	1214	375.2357307
YBR145W	956	18.19546451
YBR146W	737	40.10609236
YBR147W	791	1.653457037
YBR148W	1730	1.512005221
YBR149W	935	54.55347181
YBR150C	3185	2.053193903
YBR151W	851	65.93213367
YBR152W	776	3.370836383
YBR153W	635	26.15769033
YBR154C	548	239.1423879
YBR155W	1058	57.11178134
YBR156C	1997	1.375341755
YBR157C	668	8.223226001
YBR158W	1550	73.91657009
YBR159W	944	180.5268564
YBR160W	797	44.79955746
YBR161W	1031	6.342795909
YBR162C	1268	138.9369435
YBR162W-A	98	236.2199586
YBR163W	1658	12.93685529
YBR164C	452	222.8033358
YBR165W	734	18.70951965
YBR166C	1259	35.94345057
YBR167C	323	28.34424649
YBR168W	1142	13.51404316
YBR169C	1982	4.75114456
YBR170C	1643	14.80623981
YBR171W	521	188.7771893
YBR172C	2123	19.28251784
YBR173C	347	45.98325965
YBR175W	848	36.39867286
YBR176W	839	29.93013434
YBR177C	1256	18.11878231
YBR179C	2468	5.988288102
YBR180W	1619	0.323133914
YBR182C	1259	1.142710856
YBR182C-A	95	0
YBR183W	851	5.532766462
YBR184W	1472	2.665525509
YBR185C	737	15.43907095
YBR186W	1595	0.245997088
YBR187W	743	239.9255176
YBR188C	323	19.43605473
YBR192W	1034	19.4791311
YBR193C	572	11.43255696
YBR194W	272	18.75275593
YBR195C	1169	10.06925633
YBR196C	1565	486.4661834
YBR196C-A	50	0
YBR196C-B	5	0
YBR197C	554	15.58129568
YBR198C	2297	15.71511217
YBR199W	1295	66.65666261
YBR200W	1556	28.49439917
YBR200W-A	65	0
YBR201C-A	104	6.287906329
YBR201W	536	21.47273087
YBR202W	2438	10.67551349
YBR203W	2675	0.53782167
YBR204C	1028	16.15771727
YBR205W	1115	82.69583714
YBR207W	1298	20.65611139
YBR208C	5408	10.81036203
YBR210W	329	42.93359507
YBR211C	875	16.14303175
YBR212W	1919	3.544033083
YBR213W	725	12.80824837
YBR214W	1484	1.762647596
YBR215W	1778	7.723727459
YBR216C	1925	11.14249666
YBR217W	461	16.17124022
YBR221C	1001	175.3427593
YBR221W-A	5	0
YBR222C	1532	11.95194728
YBR223C	1535	2.641330294
YBR225W	2603	2.060056288
YBR227C	1463	10.63829511
YBR228W	815	17.65242906
YBR229C	2765	8.372352962
YBR230C	305	30.87465088
YBR230W-A	101	37.55311978
YBR231C	812	23.67721969
YBR233W	1142	5.268186318
YBR233W-A	185	58.67806209
YBR234C	1055	90.12626004
YBR235W	3263	5.731764813
YBR236C	1211	33.1561145
YBR237W	2450	9.875862675
YBR238C	2096	2.87035724
YBR239C	1490	2.721102014
YBR240C	1253	1.148182736
YBR241C	1367	2.009186163
YBR242W	617	71.43550762
YBR243C	1247	28.42315188
YBR244W	389	268.9736795
YBR245C	3290	12.68131188
YBR246W	1064	32.32834848
YBR247C	1352	69.74739174
YBR248C	1559	86.24151911
YBR249C	1013	399.079076
YBR250W	1472	1.155061054
YBR251W	824	46.18864008
YBR252W	344	157.0221818
YBR253W	266	93.4203226
YBR254C	428	52.86542555
YBR255C-A	263	13.42695131
YBR255W	1985	6.25939693
YBR256C	617	212.6107245
YBR257W	740	24.03679652
YBR258C	329	22.26186411
YBR259W	1967	7.247555277
YBR260C	1901	10.59517178
YBR261C	599	82.31593701
YBR262C	221	60.36390076
YBR263W	1373	123.0725998
YBR264C	500	32.95868981
YBR265W	863	56.83159834
YBR267W	1082	73.37207962
YBR268W	218	124.7889814
YBR269C	317	41.25818664
YBR270C	1538	5.102280298
YBR271W	1160	33.14810757
YBR272C	1343	25.22279149
YBR273C	1211	25.05608652
YBR274W	1484	20.27044736
YBR275C	5651	3.240202306
YBR276C	2324	19.41566946
YBR278W	506	34.37720172
YBR279W	1238	43.10314077
YBR280C	1814	5.623759222
YBR281C	2537	10.92910987
YBR282W	341	35.28603387
YBR283C	1373	99.35349968
YBR284W	2294	0.912212392
YBR285W	335	1.171239865
YBR286W	1514	168.4527614
YBR287W	1184	10.16261617
YBR288C	1352	49.91630255
YBR289W	2618	4.296335692
YBR290W	866	25.82543329
YBR291C	800	34.00499743
YBR293W	1325	10.5617844
YBR294W	2480	0.263686394
YBR295W	3551	3.020178269
YBR296C	1625	16.66043661
YBR296C-A	20	0
YBR297W	1307	2.901962584
YBR298C	1745	4.871776136
YBR298C-A	122	0
YCL001W	467	93.26028779
YCL001W-A	362	1.083882196
YCL001W-B	155	0
YCL002C	692	30.61810573
YCL004W	1466	4.460724817
YCL005W	671	19.2966568
YCL005W-A	295	89.11348739
YCL008C	1058	3.461320081
YCL009C	830	165.2976937
YCL010C	680	27.31170608
YCL011C	1184	266.2163585
YCL012C	305	28.7305779
YCL014W	4811	4.838982414
YCL016C	1043	9.404730463
YCL017C	1394	35.74634152
YCL018W	995	0
YCL021W-A	278	16.93663403
YCL024W	3014	5.077056683
YCL025C	1802	16.91104841
YCL026C-A	482	1.628072012
YCL026C-B	482	3.256144024
YCL027W	1439	3.544648794
YCL028W	1118	30.8838562
YCL029C	1223	9.19689848
YCL030C	2300	83.70460905
YCL031C	794	62.09980638
YCL032W	941	11.81404717
YCL033C	407	54.30773545
YCL034W	965	47.97835428
YCL035C	233	89.81181229
YCL036W	1601	35.78097553
YCL037C	1205	13.3501905
YCL038C	1487	6.244774759
YCL039W	2138	4.832688344
YCL040W	1397	23.21799285
YCL042W	254	2.059660656
YCL043C	1469	157.2310453
YCL044C	1154	6.460088166
YCL045C	2183	22.76665672
YCL047C	677	24.34172069
YCL048W	1292	0.101229452
YCL048W-A	140	0.934203226
YCL049C	839	16.2121561
YCL050C	866	118.5553517
YCL051W	1652	5.700223074
YCL052C	1151	19.8852989
YCL054W	2426	45.98621156
YCL055W	908	28.51994871
YCL056C	335	40.602982
YCL057C-A	194	88.31591322
YCL057W	2039	27.45338759
YCL058C	359	14.2082162
YCL058W-A	242	50.80212584
YCL059C	851	158.7596599
YCL061C	3191	3.360906623
YCL063W	1172	11.71739541
YCL064C	983	255.0574382
YCR002C	869	102.9451104
YCR003W	452	30.38227306
YCR004C	644	228.4736151
YCR005C	1283	37.61569654
YCR007C	620	6.539422582
YCR008W	1712	24.82841518
YCR009C	698	107.928579
YCR010C	752	0.347841627
YCR011C	3050	28.7305779
YCR012W	1151	8395.005045
YCR014C	1649	6.900300359
YCR015C	854	16.2336954
YCR016W	773	63.78686451
YCR017C	2762	18.51494735
YCR018C	566	51.29865064
YCR019W	992	11.73404455
YCR020C	548	13.84257335
YCR020C-A	167	93.19656135
YCR020W-B	137	22.91184554
YCR021C	899	2.327714378
YCR023C	1736	9.944744019
YCR024C	1379	2.276231211
YCR024C-A	23	0
YCR024C-B	167	1066.669887
YCR026C	2129	13.33071583
YCR027C	530	39.97684748
YCR028C	1439	16.35991751
YCR028C-A	308	207.223261
YCR030C	2513	4.371758829
YCR032W	6404	2.532443473
YCR033W	3581	7.19500837
YCR034W	944	60.68362481
YCR035C	1085	57.01653237
YCR036W	902	77.28408506
YCR037C	2672	15.27170543
YCR042C	4124	11.63903049
YCR043C	284	193.4195412
YCR044C	974	27.39306379
YCR045C	1376	0.095049747
YCR046C	410	37.32255815
YCR047C	728	72.93971342
YCR048W	1733	16.75420442
YCR050C	209	0
YCR051W	569	128.7197415
YCR052W	1352	29.89173932
YCR053W	1445	113.3198211
YCR054C	1592	13.06241445
YCR057C	2672	26.82338005
YCR059C	677	39.21721667
YCR060W	236	52.64789367
YCR061W	1796	0.436932467
YCR063W	374	1.748508712
YCR065W	1595	9.593886421
YCR066W	1364	5.753157697
YCR067C	3098	6.965814887
YCR068W	1463	2.413730823
YCR069W	857	22.12873453
YCR071C	341	31.45059541
YCR072C	1448	43.08431729
YCR073C	3896	2.819874214
YCR073W-A	848	52.59299765
YCR075C	683	18.76613215
YCR075W-A	128	19.41391079
YCR076C	653	25.0360742
YCR077C	2291	17.29764332
YCR079W	1229	7.342882964
YCR081W	4184	1.9068106
YCR082W	287	145.826845
YCR083W	284	69.99945299
YCR084C	2042	21.90482393
YCR086W	473	12.16636759
YCR087C-A	362	131.1497457
YCR088W	1679	40.58414729
YCR089W	4730	0.635969215
YCR090C	449	189.6286905
YCR091W	2063	0.380383282
YCR092C	2957	7.607579872
YCR093W	6227	6.048992143
YCR094W	1076	35.61432745
YCR095C	989	35.5734009
YCR095W-A	59	2.216753418
YCR097W	387	74.68797884
YCR098C	1457	1.795311622
YCR099C	368	8.529681629
YCR100C	851	2.612695274
YCR101C	449	2.91288311
YCR105W	986	1.326454885
YCR106W	2399	3.053002623
YDL001W	1193	15.23855388
YDL002C	512	55.17637804
YDL003W	1601	13.31575117
YDL004W	383	152.9849252
YDL005C	1196	12.68516755
YDL006W	746	39.27159942
YDL007C-A	158	0
YDL007W	1214	129.2801828
YDL008W	398	37.46201881
YDL009C	224	0
YDL010W	596	32.25822549
YDL012C	224	15.76467944
YDL013W	1760	10.32931521
YDL014W	884	442.2247533
YDL015C	833	112.8894318
YDL017W	1424	11.93995696
YDL018C	578	38.46719166
YDL019C	3752	4.740732789
YDL020C	1496	20.89467911
YDL021W	836	3.911137908
YDL022C-A	149	0
YDL022W	1076	47.28318558
YDL024C	1307	1.400947454
YDL025C	1763	7.789442667
YDL027C	1163	6.972385212
YDL028C	2195	6.971411773
YDL029W	1076	147.319334
YDL030W	1493	16.55660908
YDL031W	2888	38.13153611
YDL033C	1154	4.986734725
YDL035C	2786	6.853953316
YDL036C	1289	21.71352106
YDL037C	887	1.179602721
YDL039C	1997	3.798562942
YDL040C	2465	48.3890742
YDL042C	1589	13.58092796
YDL043C	701	20.70972629
YDL044C	1223	13.79534772
YDL045C	821	22.62114511
YDL045W-A	188	73.74242486
YDL046W	422	57.95602004
YDL047W	836	33.47934049
YDL048C	1373	2.286178324
YDL049C	707	3.514824019
YDL051W	728	406.3784033
YDL052C	812	66.68278199
YDL053C	458	37.69448825
YDL054C	1361	9.417537297
YDL055C	986	1219.012039
YDL056W	2402	4.519334507
YDL057W	887	5.898013603
YDL058W	5273	7.143385942
YDL059C	617	14.2023116
YDL060W	2267	33.69230514
YDL061C	83	3044.376971
YDL063C	1763	55.26795035
YDL064W	374	61.8972084
YDL065C	929	25.48192653
YDL066W	1187	69.5261272
YDL067C	80	158.5809976
YDL069C	590	21.94585883
YDL070W	1817	134.315493
YDL072C	512	88.89527572
YDL073W	2855	16.62914464
YDL074C	2003	27.62032703
YDL075W	242	2995.163632
YDL076C	785	19.49331063
YDL077C	3050	4.502553253
YDL078C	932	84.75989784
YDL079C	1406	0.930216584
YDL080C	1730	9.97923446
YDL081C	221	8413.070717
YDL084W	1241	579.1156662
YDL085C-A	107	56.22681099
YDL085W	1538	0.17007601
YDL086W	722	55.43111662
YDL087C	686	4.76634299
YDL088C	1487	17.85477854
YDL089W	1355	9.845329939
YDL090C	1196	21.21484918
YDL091C	1268	8.354782794
YDL092W	341	174.895994
YDL093W	2132	11.04217697
YDL095W	2354	53.22656613
YDL097C	1205	82.81459635
YDL098C	485	21.84301976
YDL099W	926	26.41192274
YDL100C	965	281.5001182
YDL101C	1442	12.06301253
YDL102W	3194	10.60557576
YDL103C	1334	58.53126359
YDL104C	1124	5.701631789
YDL105W	1109	4.835280899
YDL106C	1580	4.056097551
YDL107W	956	11.35506432
YDL108W	821	26.2851334
YDL109C	1844	1.418529844
YDL110C	353	12.59718798
YDL111C	698	79.63480222
YDL112W	4211	14.44232487
YDL113C	1823	11.7659386
YDL114W	827	0
YDL115C	962	24.47185166
YDL116W	2081	13.57535106
YDL117W	2558	9.305511415
YDL120W	425	69.24094499
YDL121C	350	215.6141046
YDL122W	2330	29.86242759
YDL123W	323	11.7426164
YDL124W	839	32.42431221
YDL125C	377	284.8204743
YDL126C	2408	193.304028
YDL127W	827	9.488884037
YDL128W	1136	23.25639721
YDL129W	776	10.6181346
YDL130W	221	2959.606546
YDL130W-A	161	14.62231136
YDL132W	2348	16.26500336
YDL133W	1214	15.19042148
YDL135C	509	93.01654125
YDL138W	2192	3.221978279
YDL139C	572	6.859534177
YDL140C	5102	13.76585624
YDL141W	1973	19.82044959
YDL142C	752	15.30503158
YDL143W	1487	131.9318611
YDL144C	971	17.24090815
YDL145C	3506	26.63518382
YDL146W	1376	10.45547215
YDL147W	1238	148.1142239
YDL148C	2333	36.66337221
YDL149W	2894	1.084631251
YDL150W	1169	45.08789223
YDL153C	1733	50.86636838
YDL154W	2606	2.961058575
YDL155W	1184	21.2089381
YDL156W	1469	2.136775248
YDL157C	257	275.3173243
YDL159W	1448	14.54208613
YDL159W-A	32	0
YDL160C	1421	8.283575403
YDL160C-A	143	33.84036861
YDL161W	1265	10.75256836
YDL164C	2168	14.90071382
YDL165W	476	56.32695922
YDL166C	494	213.9211922
YDL167C	2060	23.68159828
YDL168W	1061	85.17890677
YDL169C	572	2.743813671
YDL170W	1487	12.04977665
YDL171C	6338	20.8006878
YDL173W	788	46.63902908
YDL174C	1664	15.79836465
YDL175C	935	10.91069436
YDL176W	2027	11.80773885
YDL177C	413	25.65100383
YDL178W	1493	39.1576945
YDL179W	815	12.51717697
YDL180W	1544	7.53897163
YDL181W	158	16.55550021
YDL183C	863	3.031018578
YDL185W	3116	159.5400849
YDL186W	734	0
YDL189W	1313	16.23649476
YDL190C	2786	14.41207992
YDL193W	1028	47.45534286
YDL194W	2555	2.508271675
YDL195W	3722	9.276773572
YDL197C	1478	5.13242909
YDL198C	803	60.42654491
YDL199C	1964	0.99889347
YDL200C	467	19.88432562
YDL201W	761	139.5535121
YDL202W	650	43.66322155
YDL203C	1772	17.27116122
YDL204W	1082	3.14279089
YDL205C	884	48.52784179
YDL206W	2189	3.047149856
YDL207W	1517	22.76081162
YDL208W	371	586.2565905
YDL209C	920	16.63287918
YDL210W	1616	0.890267926
YDL211C	1019	3.208745133
YDL212W	533	206.1206367
YDL213C	578	116.7592406
YDL214C	2000	0.980913387
YDL215C	3179	8.145993528
YDL216C	1223	4.59844924
YDL217C	524	62.39907044
YDL218W	854	0.45944421
YDL219W	353	110.4106476
YDL220C	2675	1.12453622
YDL222C	830	1.103035134
YDL223C	3041	1.204234346
YDL224C	1850	8.837057543
YDL225W	1556	24.3757397
YDL226C	959	111.2861069
YDL227C	1661	51.57521723
YDL230W	908	14.11593421
YDL231C	3278	7.899973589
YDL232W	11	0
YDL233W	1277	5.325763105
YDL234C	2141	7.819206824
YDL235C	404	96.47266978
YDL236W	839	182.0749839
YDL237W	1073	87.88301364
YDL238C	1370	2.863980693
YDL239C	2273	3.107160752
YDL240W	2954	5.888579576
YDL241W	272	31.25459322
YDR001C	2156	9.706007543
YDR002W	506	1193.896953
YDR003W	533	27.72813327
YDR003W-A	23	0
YDR004W	1283	17.63554336
YDR005C	1088	14.90603677
YDR006C	2606	7.628489889
YDR007W	575	70.96695115
YDR009W	1463	0.804576941
YDR011W	4406	11.81429954
YDR013W	527	51.37231402
YDR014W	1844	3.333545134
YDR014W-A	389	1.344868397
YDR016C	185	103.2168321
YDR017C	3053	12.9374754
YDR018C	1091	0.959035392
YDR019C	1103	82.40976781
YDR020C	599	35.80852432
YDR021W	1100	38.40424535
YDR022C	491	13.3185796
YDR023W	1289	530.7636854
YDR026C	1613	14.35186357
YDR027C	2570	9.516513796
YDR028C	2945	9.326171424
YDR030C	1421	4.786065788
YDR031W	266	47.69353312
YDR032C	497	190.7879828
YDR033W	863	511.635936
YDR034C	2273	12.54372303
YDR034C-A	77	0
YDR034W-B	56	0
YDR035W	1013	143.5703438
YDR036C	1403	10.90680602
YDR037W	1676	294.8202687
YDR041W	512	65.39422582
YDR042C	503	2.340151222
YDR043C	596	5.266649059
YDR044W	887	46.7417578
YDR045C	233	227.8974737
YDR046C	1715	47.43464543
YDR047W	989	64.79913175
YDR049W	1799	13.95852291
YDR050C	647	7044.585396
YDR051C	905	58.67415621
YDR052C	2015	11.29389111
YDR054C	788	32.53113772
YDR055W	1235	24.03965872
YDR056C	518	158.5620611
YDR057W	1529	10.86339657
YDR058C	881	8.610363445
YDR059C	347	9.42279911
YDR060W	2978	52.21876058
YDR061W	1520	15.74624122
YDR062W	1586	57.31271998
YDR063W	350	46.33648001
YDR064W	356	5536.833581
YDR065W	998	3.931516582
YDR066C	491	10.65486368
YDR067C	575	27.29498121
YDR068W	833	34.22795013
YDR069C	2681	2.780657122
YDR070C	182	0.718617866
YDR071C	476	365.4383208
YDR072C	1484	17.62647596
YDR073W	410	17.54479229
YDR074W	2591	9.489860636
YDR075W	827	36.21590741
YDR076W	1121	5.13353423
YDR077W	917	79.01505148
YDR078C	572	19.43534683
YDR079C-A	119	95.61844784
YDR079W	236	60.96071899
YDR080W	2879	10.22139688
YDR081C	2678	7.765259078
YDR082W	1385	16.71448082
YDR083W	1079	68.96999906
YDR084C	500	38.45180478
YDR085C	1763	3.857628749
YDR086C	143	502.1179018
YDR087C	737	199.1107771
YDR088C	1049	9.60029626
YDR089W	2510	12.50566868
YDR090C	833	14.44482299
YDR091C	1727	48.84687395
YDR092W	362	94.29775105
YDR093W	4739	11.7568855
YDR096W	2585	1.011902914
YDR097C	3629	11.64085695
YDR098C	758	173.5793962
YDR099W	805	119.5780129
YDR100W	332	37.81834746
YDR101C	1682	98.05245988
YDR103W	2654	11.38362183
YDR104C	3638	2.444643956
YDR105C	1322	26.11811742
YDR106W	755	4.157513695
YDR107C	1919	5.997594447
YDR108W	1997	6.025306736
YDR109C	2048	9.068339909
YDR110W	1601	35.94435898
YDR111C	1424	16.5322481
YDR113C	1022	13.69311578
YDR114C	203	0
YDR115W	218	68.99390798
YDR116C	758	23.63854601
YDR117C	1598	15.05949631
YDR118W	1859	8.020378422
YDR119W	2207	27.67476525
YDR119W-A	101	1.294935165
YDR120C	1613	86.75985323
YDR121W	491	60.19997978
YDR122W	3095	5.113215718
YDR123C	815	5.295728717
YDR124W	875	1.644197678
YDR125C	1262	1.658173713
YDR126W	911	3.445579407
YDR127W	4667	14.04007162
YDR128W	3347	9.065706836
YDR129C	1829	70.36404397
YDR130C	776	18.03397465
YDR131C	1571	3.496572227
YDR132C	1388	4.522943573
YDR135C	4448	24.2287959
YDR137W	1892	17.07439089
YDR138W	2159	6.784764513
YDR139C	149	137.8106504
YDR140W	566	36.97200046
YDR141C	4997	5.33937245
YDR142C	1028	8.905828419
YDR143C	1733	5.433796029
YDR144C	1691	28.38519323
YDR145W	1520	20.22058298
YDR146C	2030	12.82113393
YDR147W	1505	24.94105357
YDR148C	1292	43.42743479
YDR150W	8147	4.093660877
YDR151C	878	19.21607091
YDR152W	698	89.56573049
YDR153C	1136	18.42090868
YDR155C	389	1389.921489
YDR156W	314	89.13607851
YDR158W	998	450.4207498
YDR159W	3806	4.364196889
YDR160W	2459	8.084524054
YDR161W	1064	141.2367772
YDR162C	611	14.76989061
YDR163W	428	20.47389313
